code	lut_i32	sample14
1459	691	173
1460	691	173
1461	692	173
1462	692	173
1463	692	173
1464	693	173
1465	693	173
1466	694	174
1467	694	174
1468	695	174
1469	695	174
1470	696	174
1471	696	174
1472	696	174
1473	697	174
1474	697	174
1475	698	175
1476	698	175
1477	699	175
1478	699	175
1479	700	175
1480	700	175
1481	701	175
1482	701	175
1483	701	175
1484	702	176
1485	702	176
1486	703	176
1487	703	176
1488	704	176
1489	704	176
1490	705	176
1491	705	176
1492	705	176
1493	706	177
1494	706	177
1495	707	177
1496	707	177
1497	708	177
1498	708	177
1499	709	177
1500	709	177
1501	710	178
1502	710	178
1503	710	178
1504	711	178
1505	711	178
1506	712	178
1507	712	178
1508	713	178
1509	713	178
1510	714	179
1511	714	179
1512	714	179
1513	715	179
1514	715	179
1515	716	179
1516	716	179
1517	717	179
1518	717	179
1519	718	180
1520	718	180
1521	719	180
1522	719	180
1523	719	180
1524	720	180
1525	720	180
1526	721	180
1527	721	180
1528	722	181
1529	722	181
1530	723	181
1531	723	181
1532	723	181
1533	724	181
1534	724	181
1535	725	181
1536	725	181
1537	726	182
1538	726	182
1539	727	182
1540	727	182
1541	728	182
1542	728	182
1543	728	182
1544	729	182
1545	729	182
1546	730	183
1547	730	183
1548	731	183
1549	731	183
1550	732	183
1551	732	183
1552	732	183
1553	733	183
1554	733	183
1555	734	184
1556	734	184
1557	735	184
1558	735	184
1559	736	184
1560	736	184
1561	737	184
1562	737	184
1563	737	184
1564	738	185
1565	738	185
1566	739	185
1567	739	185
1568	740	185
1569	740	185
1570	741	185
1571	741	185
1572	741	185
1573	742	186
1574	742	186
1575	743	186
1576	743	186
1577	744	186
1578	744	186
1579	745	186
1580	745	186
1581	746	187
1582	746	187
1583	746	187
1584	747	187
1585	747	187
1586	748	187
1587	748	187
1588	749	187
1589	749	187
1590	750	188
1591	750	188
1592	750	188
1593	751	188
1594	751	188
1595	752	188
1596	752	188
1597	753	188
1598	753	188
1599	754	189
1600	754	189
1601	755	189
1602	755	189
1603	755	189
1604	756	189
1605	756	189
1606	757	189
1607	757	189
1608	758	190
1609	758	190
1610	759	190
1611	759	190
1612	759	190
1613	760	190
1614	760	190
1615	761	190
1616	761	190
1617	762	191
1618	762	191
1619	763	191
1620	763	191
1621	764	191
1622	764	191
1623	764	191
1624	765	191
1625	765	191
1626	766	192
1627	766	192
1628	767	192
1629	767	192
1630	768	192
1631	768	192
1632	768	192
1633	769	192
1634	769	192
1635	770	193
1636	770	193
1637	771	193
1638	771	193
1639	772	193
1640	772	193
1641	773	193
1642	773	193
1643	773	193
1644	774	194
1645	774	194
1646	775	194
1647	775	194
1648	776	194
1649	776	194
1650	777	194
1651	777	194
1652	777	194
1653	778	195
1654	778	195
1655	779	195
1656	779	195
1657	780	195
1658	780	195
1659	781	195
1660	781	195
1661	782	196
1662	782	196
1663	782	196
1664	783	196
1665	783	196
1666	784	196
1667	784	196
1668	785	196
1669	785	196
1670	786	197
1671	786	197
1672	787	197
1673	787	197
1674	787	197
1675	788	197
1676	788	197
1677	789	197
1678	789	197
1679	790	198
1680	790	198
1681	790	198
1682	791	198
1683	791	198
1684	792	198
1685	792	198
1686	793	198
1687	793	198
1688	794	199
1689	794	199
1690	794	199
1691	795	199
1692	795	199
1693	796	199
1694	796	199
1695	797	199
1696	797	199
1697	798	200
1698	798	200
1699	798	200
1700	799	200
1701	799	200
1702	800	200
1703	800	200
1704	801	200
1705	801	200
1706	801	200
1707	802	201
1708	802	201
1709	803	201
1710	803	201
1711	804	201
1712	804	201
1713	805	201
1714	805	201
1715	805	201
1716	806	202
1717	806	202
1718	807	202
1719	807	202
1720	808	202
1721	808	202
1722	809	202
1723	809	202
1724	809	202
1725	810	203
1726	810	203
1727	811	203
1728	811	203
1729	812	203
1730	812	203
1731	812	203
1732	813	203
1733	813	203
1734	814	204
1735	814	204
1736	815	204
1737	815	204
1738	816	204
1739	816	204
1740	816	204
1741	817	204
1742	817	204
1743	818	205
1744	818	205
1745	819	205
1746	819	205
1747	820	205
1748	820	205
1749	820	205
1750	821	205
1751	821	205
1752	822	206
1753	822	206
1754	823	206
1755	823	206
1756	824	206
1757	824	206
1758	824	206
1759	825	206
1760	825	206
1761	826	207
1762	826	207
1763	827	207
1764	827	207
1765	827	207
1766	828	207
1767	828	207
1768	829	207
1769	829	207
1770	830	208
1771	830	208
1772	831	208
1773	831	208
1774	831	208
1775	832	208
1776	832	208
1777	833	208
1778	833	208
1779	834	209
1780	834	209
1781	835	209
1782	835	209
1783	835	209
1784	836	209
1785	836	209
1786	837	209
1787	837	209
1788	838	210
1789	838	210
1790	838	210
1791	839	210
1792	839	210
1793	840	210
1794	840	210
1795	841	210
1796	841	210
1797	842	211
1798	842	211
1799	842	211
1800	843	211
1801	843	211
1802	844	211
1803	844	211
1804	845	211
1805	845	211
1806	846	212
1807	846	212
1808	846	212
1809	847	212
1810	847	212
1811	848	212
1812	848	212
1813	849	212
1814	849	212
1815	849	212
1816	850	213
1817	850	213
1818	851	213
1819	851	213
1820	852	213
1821	852	213
1822	853	213
1823	853	213
1824	853	213
1825	854	214
1826	854	214
1827	855	214
1828	855	214
1829	856	214
1830	856	214
1831	857	214
1832	857	214
1833	857	214
1834	858	215
1835	858	215
1836	859	215
1837	859	215
1838	860	215
1839	860	215
1840	861	215
1841	861	215
1842	861	215
1843	862	216
1844	862	216
1845	863	216
1846	863	216
1847	864	216
1848	864	216
1849	864	216
1850	865	216
1851	865	216
1852	866	217
1853	866	217
1854	867	217
1855	867	217
1856	868	217
1857	868	217
1858	868	217
1859	869	217
1860	869	217
1861	870	218
1862	870	218
1863	871	218
1864	871	218
1865	872	218
1866	872	218
1867	872	218
1868	873	218
1869	873	218
1870	874	219
1871	874	219
1872	875	219
1873	875	219
1874	875	219
1875	876	219
1876	876	219
1877	877	219
1878	877	219
1879	878	220
1880	878	220
1881	879	220
1882	879	220
1883	879	220
1884	880	220
1885	880	220
1886	881	220
1887	881	220
1888	882	221
1889	882	221
1890	883	221
1891	883	221
1892	883	221
1893	884	221
1894	884	221
1895	885	221
1896	885	221
1897	886	222
1898	886	222
1899	886	222
1900	887	222
1901	887	222
1902	888	222
1903	888	222
1904	889	222
1905	889	222
1906	890	223
1907	890	223
1908	890	223
1909	891	223
1910	891	223
1911	892	223
1912	892	223
1913	893	223
1914	893	223
1915	894	224
1916	894	224
1917	894	224
1918	895	224
1919	895	224
1920	896	224
1921	896	224
1922	897	224
1923	897	224
1924	898	225
1925	898	225
1926	898	225
1927	899	225
1928	899	225
1929	900	225
1930	900	225
1931	901	225
1932	901	225
1933	901	225
1934	902	226
1935	902	226
1936	903	226
1937	903	226
1938	904	226
1939	904	226
1940	905	226
1941	905	226
1942	905	226
1943	906	227
1944	906	227
1945	907	227
1946	907	227
1947	908	227
1948	908	227
1949	909	227
1950	909	227
1951	909	227
1952	910	228
1953	910	228
1954	911	228
1955	911	228
1956	912	228
1957	912	228
1958	912	228
1959	913	228
1960	913	228
1961	914	229
1962	914	229
1963	915	229
1964	915	229
1965	916	229
1966	916	229
1967	916	229
1968	917	229
1969	917	229
1970	918	230
1971	918	230
1972	919	230
1973	919	230
1974	920	230
1975	920	230
1976	920	230
1977	921	230
1978	921	230
1979	922	231
1980	922	231
1981	923	231
1982	923	231
1983	924	231
1984	924	231
1985	924	231
1986	925	231
1987	925	231
1988	926	232
1989	926	232
1990	927	232
1991	927	232
1992	927	232
1993	928	232
1994	928	232
1995	929	232
1996	929	232
1997	930	233
1998	930	233
1999	930	233
2000	931	233
2001	931	233
2002	932	233
2003	932	233
2004	933	233
2005	933	233
2006	933	233
2007	934	234
2008	934	234
2009	935	234
2010	935	234
2011	936	234
2012	936	234
2013	936	234
2014	937	234
2015	937	234
2016	938	235
2017	938	235
2018	939	235
2019	939	235
2020	939	235
2021	940	235
2022	940	235
2023	941	235
2024	941	235
2025	942	236
2026	942	236
2027	942	236
2028	943	236
2029	943	236
2030	944	236
2031	944	236
2032	945	236
2033	945	236
2034	945	236
2035	946	237
2036	946	237
2037	947	237
2038	947	237
2039	948	237
2040	948	237
2041	948	237
2042	949	237
2043	949	237
2044	950	238
2045	950	238
2046	951	238
2047	951	238
2048	951	238
2049	952	238
2050	952	238
2051	953	238
2052	953	238
2053	954	239
2054	954	239
2055	954	239
2056	955	239
2057	955	239
2058	956	239
2059	956	239
2060	957	239
2061	957	239
2062	957	239
2063	958	240
2064	958	240
2065	959	240
2066	959	240
2067	960	240
2068	960	240
2069	960	240
2070	961	240
2071	961	240
2072	962	241
2073	962	241
2074	963	241
2075	963	241
2076	963	241
2077	964	241
2078	964	241
2079	965	241
2080	965	241
2081	966	242
2082	966	242
2083	967	242
2084	967	242
2085	967	242
2086	968	242
2087	968	242
2088	969	242
2089	969	242
2090	970	243
2091	970	243
2092	970	243
2093	971	243
2094	971	243
2095	972	243
2096	972	243
2097	973	243
2098	973	243
2099	973	243
2100	974	244
2101	974	244
2102	975	244
2103	975	244
2104	976	244
2105	976	244
2106	976	244
2107	977	244
2108	977	244
2109	978	245
2110	978	245
2111	979	245
2112	979	245
2113	979	245
2114	980	245
2115	980	245
2116	981	245
2117	981	245
2118	982	246
2119	982	246
2120	982	246
2121	983	246
2122	983	246
2123	984	246
2124	984	246
2125	985	246
2126	985	246
2127	985	246
2128	986	247
